[I 2024-06-24 23:57:30,343] A new study created in memory with name: no-name-d7a964a8-caf7-418c-a13e-6fe94b8a5938
Trial 0 finished with value: 0.3261538461538462 and parameters: {'C': 0.0016118685050155554, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'auto', 'coef0': 4.261656031281857, 'chi2_k': 1120}. Best is trial 0 with value: 0.3261538461538462.
Trial 30 finished with value: 0.3261538461538462 and parameters: {'C': 0.0038340058069460665, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 6.30928277001807, 'chi2_k': 1057}. Best is trial 22 with value: 0.6939618312649911.
Trial 31 finished with value: 0.6666388639823175 and parameters: {'C': 0.1448035223276419, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 7.827303236748453, 'chi2_k': 2423}. Best is trial 22 with value: 0.6939618312649911.
Trial 32 finished with value: 0.6849052275997247 and parameters: {'C': 0.0596660123310296, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 8.717123528710072, 'chi2_k': 2537}. Best is trial 22 with value: 0.6939618312649911.
Trial 33 finished with value: 0.6801985981308412 and parameters: {'C': 0.046877798171928185, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 8.824121569298226, 'chi2_k': 2529}. Best is trial 22 with value: 0.6939618312649911.
Trial 34 finished with value: 0.670411429298175 and parameters: {'C': 0.015614363261739523, 'kernel': 'linear', 'degree': 5, 'gamma': 'auto', 'coef0': 7.368433350170582, 'chi2_k': 2807}. Best is trial 22 with value: 0.6939618312649911.
Trial 35 finished with value: 0.6615288220551379 and parameters: {'C': 0.371996926493202, 'kernel': 'linear', 'degree': 5, 'gamma': 'auto', 'coef0': 9.874738849939916, 'chi2_k': 2375}. Best is trial 22 with value: 0.6939618312649911.
Trial 36 finished with value: 0.3261538461538462 and parameters: {'C': 0.05436628078982874, 'kernel': 'rbf', 'degree': 5, 'gamma': 'scale', 'coef0': 8.945468320685821, 'chi2_k': 2633}. Best is trial 22 with value: 0.6939618312649911.
Trial 37 finished with value: 0.6668920060841642 and parameters: {'C': 0.019260738311285566, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 6.661163995707623, 'chi2_k': 2352}. Best is trial 22 with value: 0.6939618312649911.
Trial 38 finished with value: 0.3261538461538462 and parameters: {'C': 0.0023382053670420863, 'kernel': 'poly', 'degree': 2, 'gamma': 'auto', 'coef0': 8.074813959655511, 'chi2_k': 1998}. Best is trial 22 with value: 0.6939618312649911.
Trial 39 finished with value: 0.3261538461538462 and parameters: {'C': 0.47582169405571506, 'kernel': 'sigmoid', 'degree': 3, 'gamma': 'scale', 'coef0': 3.3057432383186964, 'chi2_k': 2844}. Best is trial 22 with value: 0.6939618312649911.
Trial 40 finished with value: 0.6620370370370371 and parameters: {'C': 1.460683489285564, 'kernel': 'poly', 'degree': 2, 'gamma': 'scale', 'coef0': 4.32702806799154, 'chi2_k': 2521}. Best is trial 22 with value: 0.6939618312649911.
Trial 41 finished with value: 0.6846948356807512 and parameters: {'C': 0.04113245860871668, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 8.700447392278944, 'chi2_k': 2503}. Best is trial 22 with value: 0.6939618312649911.
Trial 42 finished with value: 0.684826363541558 and parameters: {'C': 0.11270759901531793, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 9.410513787329815, 'chi2_k': 2282}. Best is trial 22 with value: 0.6939618312649911.
Trial 43 finished with value: 0.6711711711711712 and parameters: {'C': 0.16950838447781177, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 9.28390604523747, 'chi2_k': 2295}. Best is trial 22 with value: 0.6939618312649911.
Trial 44 finished with value: 0.6939618312649911 and parameters: {'C': 0.09422064123080576, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 9.636421706353573, 'chi2_k': 2479}. Best is trial 22 with value: 0.6939618312649911.
Trial 45 finished with value: 0.6700703046534986 and parameters: {'C': 0.4903411076893792, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 9.62866681591027, 'chi2_k': 2665}. Best is trial 22 with value: 0.6939618312649911.
Trial 46 finished with value: 0.6437687687687688 and parameters: {'C': 0.11605567642265642, 'kernel': 'linear', 'degree': 5, 'gamma': 'auto', 'coef0': 9.922838267740982, 'chi2_k': 2865}. Best is trial 22 with value: 0.6939618312649911.
Trial 47 finished with value: 0.7029733959311424 and parameters: {'C': 8.120514128393115, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 9.274104263751349, 'chi2_k': 2190}. Best is trial 47 with value: 0.7029733959311424.
Trial 48 finished with value: 0.6429347826086955 and parameters: {'C': 18.720301473634084, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 9.294919979412434, 'chi2_k': 2168}. Best is trial 47 with value: 0.7029733959311424.
Trial 49 finished with value: 0.6894394394394394 and parameters: {'C': 1.8923013119162706, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.501242851104788, 'chi2_k': 2297}. Best is trial 47 with value: 0.7029733959311424.
Trial 50 finished with value: 0.6846948356807512 and parameters: {'C': 8.07791149925865, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.563581895328765, 'chi2_k': 2442}. Best is trial 47 with value: 0.7029733959311424.
Trial 51 finished with value: 0.6319327731092438 and parameters: {'C': 47.25176537306696, 'kernel': 'rbf', 'degree': 5, 'gamma': 'scale', 'coef0': 9.06385046206182, 'chi2_k': 2309}. Best is trial 47 with value: 0.7029733959311424.
Trial 52 finished with value: 0.6893357810413884 and parameters: {'C': 7.180571046076701, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.584871348759108, 'chi2_k': 2209}. Best is trial 47 with value: 0.7029733959311424.
Trial 53 finished with value: 0.6940639269406392 and parameters: {'C': 4.842467345773624, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.43632899735681, 'chi2_k': 2105}. Best is trial 47 with value: 0.7029733959311424.
Trial 54 finished with value: 0.6712260216847372 and parameters: {'C': 5.002522217186767, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.325257238596903, 'chi2_k': 1851}. Best is trial 47 with value: 0.7029733959311424.
Trial 55 finished with value: 0.6263664511237019 and parameters: {'C': 56.1233735240957, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 7.299494709870559, 'chi2_k': 2082}. Best is trial 47 with value: 0.7029733959311424.
Trial 56 finished with value: 0.7074636834196026 and parameters: {'C': 9.20580566802802, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.656033148202864, 'chi2_k': 2174}. Best is trial 56 with value: 0.7074636834196026.
Trial 57 finished with value: 0.6712260216847372 and parameters: {'C': 2.317830139010002, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 9.981156712844413, 'chi2_k': 1937}. Best is trial 56 with value: 0.7074636834196026.
Trial 58 finished with value: 0.6197916666666666 and parameters: {'C': 267.8711764908016, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 7.627600410483301, 'chi2_k': 2067}. Best is trial 56 with value: 0.7074636834196026.
Trial 59 finished with value: 0.6708966438470529 and parameters: {'C': 9.643679653322124, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.259751989465009, 'chi2_k': 1770}. Best is trial 56 with value: 0.7074636834196026.
Trial 60 finished with value: 0.3261538461538462 and parameters: {'C': 3.7596561600059166, 'kernel': 'rbf', 'degree': 4, 'gamma': 'auto', 'coef0': 9.092821479490807, 'chi2_k': 2126}. Best is trial 56 with value: 0.7074636834196026.
Trial 61 finished with value: 0.6894394394394394 and parameters: {'C': 6.566663596621628, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.591096621287006, 'chi2_k': 2220}. Best is trial 56 with value: 0.7074636834196026.
Trial 62 finished with value: 0.6381830729656817 and parameters: {'C': 27.651091374924988, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.655924145501958, 'chi2_k': 2214}. Best is trial 56 with value: 0.7074636834196026.
Trial 63 finished with value: 0.6706766917293233 and parameters: {'C': 10.042564253181647, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.205922584148507, 'chi2_k': 2352}. Best is trial 56 with value: 0.7074636834196026.
Trial 64 finished with value: 0.6798245614035088 and parameters: {'C': 1.4537550690300247, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 0.3809179618655918, 'chi2_k': 2466}. Best is trial 56 with value: 0.7074636834196026.
Trial 65 finished with value: 0.6849052275997247 and parameters: {'C': 4.877559753829869, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 8.484858103094272, 'chi2_k': 1971}. Best is trial 56 with value: 0.7074636834196026.
Trial 66 finished with value: 0.6756908958181249 and parameters: {'C': 2.5825436379937465, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.638699785252312, 'chi2_k': 2183}. Best is trial 56 with value: 0.7074636834196026.
Trial 67 finished with value: 0.6523809523809523 and parameters: {'C': 13.650813496973973, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.945644324976886, 'chi2_k': 2100}. Best is trial 56 with value: 0.7074636834196026.
Trial 68 finished with value: 0.3261538461538462 and parameters: {'C': 0.769500656014333, 'kernel': 'sigmoid', 'degree': 3, 'gamma': 'scale', 'coef0': 7.890554936931961, 'chi2_k': 2336}. Best is trial 56 with value: 0.7074636834196026.
Trial 69 finished with value: 0.6846948356807512 and parameters: {'C': 1.4659836321652215, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 8.305550627750137, 'chi2_k': 2250}. Best is trial 56 with value: 0.7074636834196026.
Trial 70 finished with value: 0.6460104540588198 and parameters: {'C': 24.42835241386735, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 2.4733963162185524, 'chi2_k': 2594}. Best is trial 56 with value: 0.7074636834196026.
Trial 71 finished with value: 0.6939618312649911 and parameters: {'C': 6.717253414282466, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.486194633591802, 'chi2_k': 2192}. Best is trial 56 with value: 0.7074636834196026.
Trial 72 finished with value: 0.684931506849315 and parameters: {'C': 6.126224214338141, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.70644836308712, 'chi2_k': 2397}. Best is trial 56 with value: 0.7074636834196026.
Trial 73 finished with value: 0.6757990867579908 and parameters: {'C': 3.8110056064934725, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.399316325581934, 'chi2_k': 2021}. Best is trial 56 with value: 0.7074636834196026.
Trial 74 finished with value: 0.623300889410975 and parameters: {'C': 37.70073979066203, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.91331659872645, 'chi2_k': 2155}. Best is trial 56 with value: 0.7074636834196026.
Trial 75 finished with value: 0.5734247967479675 and parameters: {'C': 12.578051565141246, 'kernel': 'poly', 'degree': 2, 'gamma': 'scale', 'coef0': 9.965419971376173, 'chi2_k': 2261}. Best is trial 56 with value: 0.7074636834196026.
Trial 76 finished with value: 0.6239905038472137 and parameters: {'C': 75.95026817891275, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.771486401719047, 'chi2_k': 1890}. Best is trial 56 with value: 0.7074636834196026.
Trial 77 finished with value: 0.666158536585366 and parameters: {'C': 0.6603548221047302, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 9.175988117176146, 'chi2_k': 2400}. Best is trial 56 with value: 0.7074636834196026.
Trial 78 finished with value: 0.3261538461538462 and parameters: {'C': 2.7502158248805624, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'auto', 'coef0': 8.047988514871662, 'chi2_k': 2208}. Best is trial 56 with value: 0.7074636834196026.
Trial 79 finished with value: 0.5667556128082445 and parameters: {'C': 0.25008326670980374, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.448022183622928, 'chi2_k': 2479}. Best is trial 56 with value: 0.7074636834196026.
Trial 80 finished with value: 0.6662212664676285 and parameters: {'C': 1.010608806330572, 'kernel': 'poly', 'degree': 2, 'gamma': 'scale', 'coef0': 9.763488226912276, 'chi2_k': 2119}. Best is trial 56 with value: 0.7074636834196026.
Trial 81 finished with value: 0.6939618312649911 and parameters: {'C': 6.886748263123024, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.530692513626962, 'chi2_k': 2209}. Best is trial 56 with value: 0.7074636834196026.
Trial 82 finished with value: 0.6849052275997247 and parameters: {'C': 5.830320828964449, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.585610065456832, 'chi2_k': 2319}. Best is trial 56 with value: 0.7074636834196026.
Trial 83 finished with value: 0.6803053053053052 and parameters: {'C': 1.842485716363369, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.441263272016538, 'chi2_k': 2025}. Best is trial 56 with value: 0.7074636834196026.
Trial 84 finished with value: 0.66641627543036 and parameters: {'C': 16.32444427451214, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.09752221694335, 'chi2_k': 2267}. Best is trial 56 with value: 0.7074636834196026.
Trial 85 finished with value: 0.6708966438470529 and parameters: {'C': 8.842793764013901, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.812881931648795, 'chi2_k': 1956}. Best is trial 56 with value: 0.7074636834196026.
Trial 86 finished with value: 0.6757720457910212 and parameters: {'C': 3.824971335105281, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.326978385621013, 'chi2_k': 2079}. Best is trial 56 with value: 0.7074636834196026.
Trial 87 finished with value: 0.688034188034188 and parameters: {'C': 1.1288702110134474, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.779434091463855, 'chi2_k': 1181}. Best is trial 56 with value: 0.7074636834196026.
Trial 88 finished with value: 0.6473429951690821 and parameters: {'C': 21.578166225107417, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 8.483908975323105, 'chi2_k': 2208}. Best is trial 56 with value: 0.7074636834196026.
Trial 89 finished with value: 0.3261538461538462 and parameters: {'C': 154.68786570392382, 'kernel': 'sigmoid', 'degree': 3, 'gamma': 'auto', 'coef0': 9.005157746567136, 'chi2_k': 2367}. Best is trial 56 with value: 0.7074636834196026.
Trial 90 finished with value: 0.6706766917293233 and parameters: {'C': 11.22476440964389, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 7.762352569870133, 'chi2_k': 2141}. Best is trial 56 with value: 0.7074636834196026.
Trial 91 finished with value: 0.6801985981308412 and parameters: {'C': 7.157175753453498, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.632535473221731, 'chi2_k': 2234}. Best is trial 56 with value: 0.7074636834196026.
Trial 92 finished with value: 0.684931506849315 and parameters: {'C': 4.376870284924782, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.529557305287845, 'chi2_k': 2323}. Best is trial 56 with value: 0.7074636834196026.
Trial 93 finished with value: 0.6801985981308412 and parameters: {'C': 2.8626483224584955, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.23881840484248, 'chi2_k': 2168}. Best is trial 56 with value: 0.7074636834196026.
Trial 94 finished with value: 0.6324886725960732 and parameters: {'C': 30.440409295265, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.96868925845668, 'chi2_k': 2053}. Best is trial 56 with value: 0.7074636834196026.
Trial 95 finished with value: 0.6803053053053052 and parameters: {'C': 6.551125699285004, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.192030364123099, 'chi2_k': 2279}. Best is trial 56 with value: 0.7074636834196026.
Trial 96 finished with value: 0.6681818181818182 and parameters: {'C': 0.026325359994531974, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 8.710938948252416, 'chi2_k': 1496}. Best is trial 56 with value: 0.7074636834196026.
Trial 97 finished with value: 0.601244918699187 and parameters: {'C': 7.890211746154545, 'kernel': 'poly', 'degree': 4, 'gamma': 'scale', 'coef0': 9.498400593672764, 'chi2_k': 2435}. Best is trial 56 with value: 0.7074636834196026.
Trial 98 finished with value: 0.6803053053053052 and parameters: {'C': 1.9274738528095372, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.977043316418223, 'chi2_k': 2208}. Best is trial 56 with value: 0.7074636834196026.
Trial 99 finished with value: 0.3261538461538462 and parameters: {'C': 0.0750836071166255, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 9.769199034663583, 'chi2_k': 2553}. Best is trial 56 with value: 0.7074636834196026.
Trial 100 finished with value: 0.5631154499151104 and parameters: {'C': 14.007800419146365, 'kernel': 'linear', 'degree': 3, 'gamma': 'scale', 'coef0': 8.472000612060993, 'chi2_k': 2099}. Best is trial 56 with value: 0.7074636834196026.
Trial 101 finished with value: 0.6615288220551379 and parameters: {'C': 4.825011642538342, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.752978637150559, 'chi2_k': 1209}. Best is trial 56 with value: 0.7074636834196026.
Trial 102 finished with value: 0.6692398053364659 and parameters: {'C': 1.1130629493137632, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.249461181602111, 'chi2_k': 2166}. Best is trial 56 with value: 0.7074636834196026.
Trial 103 finished with value: 0.6753658893041318 and parameters: {'C': 3.2808655786279344, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.539262302289025, 'chi2_k': 1103}. Best is trial 56 with value: 0.7074636834196026.
Trial 104 finished with value: 0.6889724310776941 and parameters: {'C': 1.4091303331981477, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.977260291328031, 'chi2_k': 1983}. Best is trial 56 with value: 0.7074636834196026.
Trial 105 finished with value: 0.6803053053053052 and parameters: {'C': 2.1497948901779567, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.124614327902417, 'chi2_k': 2046}. Best is trial 56 with value: 0.7074636834196026.
Trial 106 finished with value: 0.674660441426146 and parameters: {'C': 0.528042265042472, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.976523226561582, 'chi2_k': 1991}. Best is trial 56 with value: 0.7074636834196026.
Trial 107 finished with value: 0.5835701313962183 and parameters: {'C': 8.660695141958412, 'kernel': 'linear', 'degree': 5, 'gamma': 'auto', 'coef0': 8.84354291194244, 'chi2_k': 1814}. Best is trial 56 with value: 0.7074636834196026.
Trial 108 finished with value: 0.6240956002172733 and parameters: {'C': 0.33813324473740686, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.371001265784242, 'chi2_k': 1912}. Best is trial 56 with value: 0.7074636834196026.
Trial 109 finished with value: 0.675772045791021 and parameters: {'C': 5.813722561452112, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.756035297704202, 'chi2_k': 2492}. Best is trial 56 with value: 0.7074636834196026.
Trial 110 finished with value: 0.6891801636333277 and parameters: {'C': 1.5810910045515965, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.564272895532667, 'chi2_k': 2387}. Best is trial 56 with value: 0.7074636834196026.
Trial 111 finished with value: 0.6800384037401904 and parameters: {'C': 1.540323190169123, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.523709904685736, 'chi2_k': 2299}. Best is trial 56 with value: 0.7074636834196026.
Trial 112 finished with value: 0.6849052275997247 and parameters: {'C': 3.246541267720228, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.236846182375778, 'chi2_k': 2385}. Best is trial 56 with value: 0.7074636834196026.
Trial 113 finished with value: 0.6706766917293233 and parameters: {'C': 11.094881131197122, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.69845408130189, 'chi2_k': 2621}. Best is trial 56 with value: 0.7074636834196026.
