A new study created in memory with name: no-name-f0832815-ac66-4bf6-8a2c-0067d810c897
Trial 0 finished with value: 0.3261538461538462 and parameters: {'C': 0.00010175808759105401, 'solver': 'liblinear', 'chi2_k': 2003}. Best is trial 0 with value: 0.3261538461538462.
Trial 16 finished with value: 0.6847052845528456 and parameters: {'C': 0.07526970043667922, 'solver': 'lbfgs', 'chi2_k': 2514}. Best is trial 15 with value: 0.6889797994785596.
Trial 17 finished with value: 0.6667952426872388 and parameters: {'C': 0.03464340535330345, 'solver': 'lbfgs', 'chi2_k': 2026}. Best is trial 15 with value: 0.6889797994785596.
Trial 18 finished with value: 0.6738297872340425 and parameters: {'C': 0.04099539845343734, 'solver': 'lbfgs', 'chi2_k': 1773}. Best is trial 15 with value: 0.6889797994785596.
Trial 19 finished with value: 0.642156862745098 and parameters: {'C': 3.5807241732899393, 'solver': 'lbfgs', 'chi2_k': 2600}. Best is trial 15 with value: 0.6889797994785596.
Trial 20 finished with value: 0.6049253230407786 and parameters: {'C': 14.924723124321547, 'solver': 'lbfgs', 'chi2_k': 1518}. Best is trial 15 with value: 0.6889797994785596.
Trial 21 finished with value: 0.6735940550412495 and parameters: {'C': 0.23966980440193852, 'solver': 'lbfgs', 'chi2_k': 2410}. Best is trial 15 with value: 0.6889797994785596.
Trial 22 finished with value: 0.6667952426872388 and parameters: {'C': 0.03292283245980455, 'solver': 'lbfgs', 'chi2_k': 2225}. Best is trial 15 with value: 0.6889797994785596.
Trial 23 finished with value: 0.6779411764705883 and parameters: {'C': 0.14202127329905842, 'solver': 'lbfgs', 'chi2_k': 2531}. Best is trial 15 with value: 0.6889797994785596.
Trial 24 finished with value: 0.6700703046534986 and parameters: {'C': 1.1469372922820227, 'solver': 'lbfgs', 'chi2_k': 2097}. Best is trial 15 with value: 0.6889797994785596.
Trial 25 finished with value: 0.6061151079136691 and parameters: {'C': 0.013861676962910824, 'solver': 'lbfgs', 'chi2_k': 2400}. Best is trial 15 with value: 0.6889797994785596.
Trial 26 finished with value: 0.671858182969294 and parameters: {'C': 0.08063827754177136, 'solver': 'lbfgs', 'chi2_k': 2617}. Best is trial 15 with value: 0.6889797994785596.
Trial 27 finished with value: 0.6460104540588198 and parameters: {'C': 0.5938960311212154, 'solver': 'lbfgs', 'chi2_k': 2858}. Best is trial 15 with value: 0.6889797994785596.
Trial 28 finished with value: 0.6425761633746234 and parameters: {'C': 8.04269501778947, 'solver': 'lbfgs', 'chi2_k': 2468}. Best is trial 15 with value: 0.6889797994785596.
Trial 29 finished with value: 0.3261538461538462 and parameters: {'C': 0.0005389756261258245, 'solver': 'lbfgs', 'chi2_k': 2285}. Best is trial 15 with value: 0.6889797994785596.
Trial 30 finished with value: 0.3261538461538462 and parameters: {'C': 0.00015202751824947377, 'solver': 'lbfgs', 'chi2_k': 1013}. Best is trial 15 with value: 0.6889797994785596.
Trial 31 finished with value: 0.6724940497504055 and parameters: {'C': 0.09710021325603164, 'solver': 'lbfgs', 'chi2_k': 2326}. Best is trial 15 with value: 0.6889797994785596.
Trial 32 finished with value: 0.6198593555278618 and parameters: {'C': 0.015560533161065124, 'solver': 'lbfgs', 'chi2_k': 1982}. Best is trial 15 with value: 0.6889797994785596.
Trial 33 finished with value: 0.6589646464646464 and parameters: {'C': 0.21736833152956486, 'solver': 'lbfgs', 'chi2_k': 2659}. Best is trial 15 with value: 0.6889797994785596.
Trial 34 finished with value: 0.6939786585365855 and parameters: {'C': 0.05613826892268708, 'solver': 'lbfgs', 'chi2_k': 2330}. Best is trial 34 with value: 0.6939786585365855.
Trial 35 finished with value: 0.4311688311688312 and parameters: {'C': 0.0061032677417542855, 'solver': 'liblinear', 'chi2_k': 2193}. Best is trial 34 with value: 0.6939786585365855.
Trial 36 finished with value: 0.6485513532269257 and parameters: {'C': 0.02276632397592986, 'solver': 'lbfgs', 'chi2_k': 1940}. Best is trial 34 with value: 0.6939786585365855.
Trial 37 finished with value: 0.6889797994785596 and parameters: {'C': 0.055473229004694764, 'solver': 'liblinear', 'chi2_k': 2511}. Best is trial 34 with value: 0.6939786585365855.
Trial 38 finished with value: 0.426008064516129 and parameters: {'C': 0.005356813867818704, 'solver': 'liblinear', 'chi2_k': 2785}. Best is trial 34 with value: 0.6939786585365855.
Trial 39 finished with value: 0.6789061005928476 and parameters: {'C': 0.04511330627934675, 'solver': 'liblinear', 'chi2_k': 2588}. Best is trial 34 with value: 0.6939786585365855.
Trial 40 finished with value: 0.3261538461538462 and parameters: {'C': 0.003048285675076831, 'solver': 'liblinear', 'chi2_k': 2251}. Best is trial 34 with value: 0.6939786585365855.
Trial 41 finished with value: 0.6989531563920905 and parameters: {'C': 0.07081608553688239, 'solver': 'liblinear', 'chi2_k': 2458}. Best is trial 41 with value: 0.6989531563920905.
Trial 42 finished with value: 0.6754319105691058 and parameters: {'C': 0.059108003017700805, 'solver': 'liblinear', 'chi2_k': 2101}. Best is trial 41 with value: 0.6989531563920905.
Trial 43 finished with value: 0.6256410256410256 and parameters: {'C': 0.014360275448466901, 'solver': 'liblinear', 'chi2_k': 2701}. Best is trial 41 with value: 0.6989531563920905.
Trial 44 finished with value: 0.6556964678754847 and parameters: {'C': 0.35092777432588795, 'solver': 'liblinear', 'chi2_k': 2886}. Best is trial 41 with value: 0.6989531563920905.
Trial 45 finished with value: 0.6748227617792837 and parameters: {'C': 0.725746492397935, 'solver': 'liblinear', 'chi2_k': 2505}. Best is trial 41 with value: 0.6989531563920905.
Trial 46 finished with value: 0.6485513532269257 and parameters: {'C': 0.020449450845015593, 'solver': 'liblinear', 'chi2_k': 2333}. Best is trial 41 with value: 0.6989531563920905.
Trial 47 finished with value: 0.5538888888888889 and parameters: {'C': 0.010359126730227233, 'solver': 'liblinear', 'chi2_k': 2752}. Best is trial 41 with value: 0.6989531563920905.
Trial 48 finished with value: 0.6779411764705883 and parameters: {'C': 0.1383662791733446, 'solver': 'liblinear', 'chi2_k': 2423}. Best is trial 41 with value: 0.6989531563920905.
Trial 49 finished with value: 0.651332327802916 and parameters: {'C': 1.0008099650515345, 'solver': 'liblinear', 'chi2_k': 2561}. Best is trial 41 with value: 0.6989531563920905.
Trial 50 finished with value: 0.68042719678545 and parameters: {'C': 0.06173654457103741, 'solver': 'liblinear', 'chi2_k': 2144}. Best is trial 41 with value: 0.6989531563920905.
Trial 51 finished with value: 0.6735940550412495 and parameters: {'C': 0.19493477519256694, 'solver': 'lbfgs', 'chi2_k': 2472}. Best is trial 41 with value: 0.6989531563920905.
Trial 52 finished with value: 0.6696832579185521 and parameters: {'C': 0.3094067392355344, 'solver': 'lbfgs', 'chi2_k': 2348}. Best is trial 41 with value: 0.6989531563920905.
Trial 53 finished with value: 0.6780578221871871 and parameters: {'C': 0.036257238860032716, 'solver': 'lbfgs', 'chi2_k': 2666}. Best is trial 41 with value: 0.6989531563920905.
Trial 54 finished with value: 0.6822817013939994 and parameters: {'C': 0.12528574290454492, 'solver': 'lbfgs', 'chi2_k': 2455}. Best is trial 41 with value: 0.6989531563920905.
Trial 55 finished with value: 0.6510335917312662 and parameters: {'C': 0.02634841803286973, 'solver': 'lbfgs', 'chi2_k': 2258}. Best is trial 41 with value: 0.6989531563920905.
Trial 56 finished with value: 0.6811016144349478 and parameters: {'C': 0.07173623957081175, 'solver': 'liblinear', 'chi2_k': 2579}. Best is trial 41 with value: 0.6989531563920905.
Trial 57 finished with value: 0.6832407504454461 and parameters: {'C': 0.17791472674837036, 'solver': 'lbfgs', 'chi2_k': 1389}. Best is trial 41 with value: 0.6989531563920905.
Trial 58 finished with value: 0.6659702053864316 and parameters: {'C': 1.5973303634668619, 'solver': 'lbfgs', 'chi2_k': 1461}. Best is trial 41 with value: 0.6989531563920905.
Trial 59 finished with value: 0.6796956143883672 and parameters: {'C': 0.05366526911569847, 'solver': 'lbfgs', 'chi2_k': 1556}. Best is trial 41 with value: 0.6989531563920905.
Trial 60 finished with value: 0.6724940497504055 and parameters: {'C': 0.08941192267779142, 'solver': 'liblinear', 'chi2_k': 1312}. Best is trial 41 with value: 0.6989531563920905.
Trial 61 finished with value: 0.6595378151260505 and parameters: {'C': 0.17413347621805042, 'solver': 'lbfgs', 'chi2_k': 1767}. Best is trial 41 with value: 0.6989531563920905.
Trial 62 finished with value: 0.6822817013939994 and parameters: {'C': 0.12533055979690913, 'solver': 'lbfgs', 'chi2_k': 2377}. Best is trial 41 with value: 0.6989531563920905.
Trial 63 finished with value: 0.6748227617792837 and parameters: {'C': 0.43078049632855925, 'solver': 'lbfgs', 'chi2_k': 2507}. Best is trial 41 with value: 0.6989531563920905.
Trial 64 finished with value: 0.4927287054946629 and parameters: {'C': 0.008931950758998181, 'solver': 'lbfgs', 'chi2_k': 1060}. Best is trial 41 with value: 0.6989531563920905.
Trial 65 finished with value: 0.6692398053364659 and parameters: {'C': 0.27370403914513264, 'solver': 'lbfgs', 'chi2_k': 2300}. Best is trial 41 with value: 0.6989531563920905.
Trial 66 finished with value: 0.6652988589971737 and parameters: {'C': 0.5907583763079796, 'solver': 'lbfgs', 'chi2_k': 2640}. Best is trial 41 with value: 0.6989531563920905.
Trial 67 finished with value: 0.6831489361702128 and parameters: {'C': 0.04047721359200883, 'solver': 'lbfgs', 'chi2_k': 2426}. Best is trial 41 with value: 0.6989531563920905.
Trial 68 finished with value: 0.6615728021978021 and parameters: {'C': 0.03133645748752394, 'solver': 'lbfgs', 'chi2_k': 1872}. Best is trial 41 with value: 0.6989531563920905.
Trial 69 finished with value: 0.6362126245847175 and parameters: {'C': 0.019082513114308752, 'solver': 'lbfgs', 'chi2_k': 2189}. Best is trial 41 with value: 0.6989531563920905.
Trial 70 finished with value: 0.5206072731552313 and parameters: {'C': 0.009455393799302278, 'solver': 'lbfgs', 'chi2_k': 2054}. Best is trial 41 with value: 0.6989531563920905.
Trial 71 finished with value: 0.6779411764705883 and parameters: {'C': 0.0974271633725827, 'solver': 'lbfgs', 'chi2_k': 2538}. Best is trial 41 with value: 0.6989531563920905.
Trial 72 finished with value: 0.6889797994785596 and parameters: {'C': 0.04710517965495762, 'solver': 'lbfgs', 'chi2_k': 2415}. Best is trial 41 with value: 0.6989531563920905.
Trial 73 finished with value: 0.6789061005928476 and parameters: {'C': 0.03891423874091444, 'solver': 'lbfgs', 'chi2_k': 2376}. Best is trial 41 with value: 0.6989531563920905.
Trial 74 finished with value: 0.6889797994785596 and parameters: {'C': 0.05465550072939273, 'solver': 'lbfgs', 'chi2_k': 2434}. Best is trial 41 with value: 0.6989531563920905.
Trial 75 finished with value: 0.68042719678545 and parameters: {'C': 0.06766235291465013, 'solver': 'lbfgs', 'chi2_k': 2713}. Best is trial 41 with value: 0.6989531563920905.
Trial 76 finished with value: 0.6551627445482193 and parameters: {'C': 0.025309799596704822, 'solver': 'lbfgs', 'chi2_k': 2489}. Best is trial 41 with value: 0.6989531563920905.
Trial 77 finished with value: 0.6847052845528456 and parameters: {'C': 0.05319850068491886, 'solver': 'liblinear', 'chi2_k': 2282}. Best is trial 41 with value: 0.6989531563920905.
Trial 78 finished with value: 0.3261538461538462 and parameters: {'C': 0.003144064894381843, 'solver': 'liblinear', 'chi2_k': 2305}. Best is trial 41 with value: 0.6989531563920905.
Trial 79 finished with value: 0.674660441426146 and parameters: {'C': 0.05189723398649161, 'solver': 'liblinear', 'chi2_k': 2138}. Best is trial 41 with value: 0.6989531563920905.
Trial 80 finished with value: 0.6460104540588198 and parameters: {'C': 40.451481516916665, 'solver': 'liblinear', 'chi2_k': 2585}. Best is trial 41 with value: 0.6989531563920905.
Trial 81 finished with value: 0.6735940550412495 and parameters: {'C': 0.16521615621016175, 'solver': 'liblinear', 'chi2_k': 2228}. Best is trial 41 with value: 0.6989531563920905.
Trial 82 finished with value: 0.6871428571428572 and parameters: {'C': 0.10235250328561044, 'solver': 'liblinear', 'chi2_k': 2334}. Best is trial 41 with value: 0.6989531563920905.
Trial 83 finished with value: 0.6822817013939994 and parameters: {'C': 0.0967856696239878, 'solver': 'liblinear', 'chi2_k': 2416}. Best is trial 41 with value: 0.6989531563920905.
Trial 84 finished with value: 0.6159174159174159 and parameters: {'C': 0.014541335529776, 'solver': 'liblinear', 'chi2_k': 2347}. Best is trial 41 with value: 0.6989531563920905.
Trial 85 finished with value: 0.6853980057461551 and parameters: {'C': 0.07120751929382677, 'solver': 'liblinear', 'chi2_k': 2286}. Best is trial 41 with value: 0.6989531563920905.
Trial 86 finished with value: 0.6563191951329621 and parameters: {'C': 0.029675514718718453, 'solver': 'liblinear', 'chi2_k': 2455}. Best is trial 41 with value: 0.6989531563920905.
Trial 87 finished with value: 0.6779411764705883 and parameters: {'C': 0.12016179147327805, 'solver': 'liblinear', 'chi2_k': 2533}. Best is trial 41 with value: 0.6989531563920905.
Trial 88 finished with value: 0.6952690166975881 and parameters: {'C': 0.07724826648062451, 'solver': 'liblinear', 'chi2_k': 2427}. Best is trial 41 with value: 0.6989531563920905.
Trial 89 finished with value: 0.6735940550412495 and parameters: {'C': 0.23327974633202817, 'solver': 'liblinear', 'chi2_k': 2221}. Best is trial 41 with value: 0.6989531563920905.
Trial 90 finished with value: 0.6995884773662552 and parameters: {'C': 0.07276405979294862, 'solver': 'liblinear', 'chi2_k': 2401}. Best is trial 90 with value: 0.6995884773662552.
Trial 91 finished with value: 0.6989531563920905 and parameters: {'C': 0.06781543380161077, 'solver': 'liblinear', 'chi2_k': 2389}. Best is trial 90 with value: 0.6995884773662552.
Trial 92 finished with value: 0.6909450892010869 and parameters: {'C': 0.0800428409312468, 'solver': 'liblinear', 'chi2_k': 2384}. Best is trial 90 with value: 0.6995884773662552.
Trial 93 finished with value: 0.6889797994785596 and parameters: {'C': 0.04756388144140391, 'solver': 'liblinear', 'chi2_k': 2390}. Best is trial 90 with value: 0.6995884773662552.
Trial 94 finished with value: 0.6472048066875653 and parameters: {'C': 0.017827079609747682, 'solver': 'liblinear', 'chi2_k': 2442}. Best is trial 90 with value: 0.6995884773662552.
Trial 95 finished with value: 0.6563191951329621 and parameters: {'C': 0.025437399427665628, 'solver': 'liblinear', 'chi2_k': 2616}. Best is trial 90 with value: 0.6995884773662552.
Trial 96 finished with value: 0.6817195694757461 and parameters: {'C': 0.08459177179277517, 'solver': 'liblinear', 'chi2_k': 2484}. Best is trial 90 with value: 0.6995884773662552.
Trial 97 finished with value: 0.5667556128082445 and parameters: {'C': 0.011380861671495377, 'solver': 'liblinear', 'chi2_k': 2556}. Best is trial 90 with value: 0.6995884773662552.
Trial 98 finished with value: 0.6780578221871871 and parameters: {'C': 0.040152022843526654, 'solver': 'liblinear', 'chi2_k': 2394}. Best is trial 90 with value: 0.6995884773662552.
Trial 99 finished with value: 0.46679002726918584 and parameters: {'C': 0.007148964119704216, 'solver': 'liblinear', 'chi2_k': 2352}. Best is trial 90 with value: 0.6995884773662552.
